"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux"
"311","Kummeli  15",10045,4898,2019,11,7,311,"THU",7064,11990,34.2,1040,70.10625,42.8708333333333,59.5916666666667,44.9158333333333,36.555,-0.444684235923611,4.20653067865625,96.6157822538889,444.619581319667
"189","Kummeli  15",10045,1878,2019,7,8,189,"MON",4689.94,9061,4.6,821,61.9513043478261,56.3152173913044,58.7082608695652,25.2469565217391,37.5408695652174,15.1172535010507,2.86495302348551,65.182307876384,7137.92126284117
"361","Kummeli  15",10045,6195,2019,12,27,361,"FRI",8418.63,13190,28.4,1483,64.2695833333333,46.5716666666667,59.9175,43.54875,35.8479166666667,-0.326800817572917,4.384291401875,97.1355110203645,243.53116481375
"245","Kummeli  15",10045,3232,2019,9,2,245,"MON",5784.27,10405,10.5,1078,63.88875,56.2520833333333,59.1970833333333,26.0620833333333,38.3683333333333,18.6547124327431,3.07069627777431,195.972578579514,4942.77302914117
"85","Kummeli  15",10045,8142,2019,3,26,85,"TUE",2614.35,6566,32.2,1061,70.5808333333333,45.0204166666667,59.6391666666667,46.3741666666667,38.22125,-0.121899891434027,4.27702562300347,253.276814117771,4441.02642694825
"72","Kummeli  15",10045,7830,2019,3,13,72,"WED",2309.32,6254,33.2,1102,72.3195833333333,44.5841666666667,60.1933333333333,46.77625,38.1270833333333,-1.41451654342708,2.77113105015278,180.189978812847,2715.83650614242
"276","Kummeli  15",10045,4008,2019,10,3,276,"THU",6268.42,11149,19.9,633,68.0854166666667,44.2004166666667,58.5433333333333,41.1720833333333,35.72375,6.86541809870833,2.44108938612847,98.4598105679896,668.946737008667
"6","Kummeli  15",10045,5428,2019,1,6,6,"SUN",537.51,4670,36.3,1044,75.5008333333333,46.775,60.6858333333333,55.4066666666667,43.0170833333333,-7.17919321882986,2.09674695323264,227.244205526667,223.034143858667
"167","Kummeli  15",10045,1350,2019,6,16,167,"SUN",4227.2,8533,4.3,1506,59.4616666666667,56.1825,57.585,25.8191666666667,38.1604166666667,20.0849019440625,1.85365875827083,273.078761494618,8421.52789921142
"10","Kummeli  15",10045,6342,2019,1,10,10,"THU",659.06,4766,26.6,840,71.865,44.4379166666667,59.6925,49.65875,39.2845833333333,-5.2409972051875,1.52258521915625,214.467956402708,149.431020637833
"202","Kummeli  15",10045,2200,2019,7,21,202,"SUN",4946.84,9373,5.9,881,62.4234782608696,56.3791304347826,58.8547826086957,25.5117391304348,37.9139130434783,21.4471602022464,1.91001853342391,166.726033373478,7264.218736765
"217","Kummeli  15",10045,2528,2019,8,5,217,"MON",5263.88,9733,5.3,753,62.4175,56.545,58.9825,24.8220833333333,38.1725,13.7707518401528,3.68113171565625,295.29452675,6625.95231304125
"154","Kummeli  15",10045,1038,2019,6,3,154,"MON",3879.24,8221,16.4,731,65.5075,51.1341666666667,59.45,31.5370833333333,29.4883333333333,14.3453595287465,2.15145677111806,243.552177917201,8127.76657397425
"137","Kummeli  15",10045,630,2019,5,17,137,"FRI",3601.74,7813,16.1,781,66.04875,49.9641666666667,59.3008333333333,33.3525,30.6504166666667,15.0102917245347,3.16201661738195,92.2340249076735,7768.15425287158
"37","Kummeli  15",10045,6990,2019,2,6,37,"WED",1416.04,5414,21.3,731,72.2854166666667,44.9958333333333,59.9229166666667,49.4029166666667,39.2170833333333,-3.04511773251736,3.33745778219444,250.534859508681,338.778920209583
"81","Kummeli  15",10045,8046,2019,3,22,81,"FRI",2521.13,6470,23.7,796,69.0758333333333,43.7558333333333,59.28375,42.9391666666667,35.6429166666667,3.42899884348958,4.84740919077083,311.581228268055,4217.28285826892
"312","Kummeli  15",10045,4922,2019,11,8,312,"FRI",7087.34,12014,30.1,965,68.33625,43.8691666666667,59.9633333333333,45.3516666666667,37.01875,2.92412181892708,1.66474588852778,141.951936718195,542.20751489125
"227","Kummeli  15",10045,2800,2019,8,15,227,"THU",5464.1,9973,5,705,62.8930434782609,56.8426086956522,59.3639130434783,25.0208695652174,38.2921739130435,14.7419363133333,3.56263862422101,259.794745919203,5119.11264474842
"26","Kummeli  15",10045,6726,2019,1,26,26,"SAT",1116.96,5150,34.4,753,81.1141666666667,44.8895833333333,60.1883333333333,53.295,41.2433333333333,-10.4578626092639,2.21699844087153,168.134768338715,816.315626822166
"355","Kummeli  15",10045,6024,2019,12,21,355,"SAT",8197.99,13046,35.1,1647,64.45875,46.26375,59.6358333333333,48.2420833333333,39.05,1.86390952889583,2.80289862854861,143.377887207813,186.282203726
"253","Kummeli  15",10045,3424,2019,9,10,253,"TUE",5899.84,10597,4.9,525,65.3845833333333,56.5683333333333,59.8216666666667,25.8533333333333,38.07,19.8082796588542,3.28515272366667,138.090446784375,3770.31726395867
"3","Kummeli  15",10045,4163,2019,1,3,3,"THU",442.94,4598,25.8,804,72.1908333333333,45.97625,60.5241666666667,52.2958333333333,41.0983333333333,-4.68742535849653,5.53922948515625,30.2122854461354,256.470490808333
"334","Kummeli  15",10045,5497,2019,11,30,334,"SAT",7633.71,12542,26.7,956,70.1541666666667,43.14625,59.7741666666667,45.4379166666667,36.7429166666667,-1.72291798538194,3.82209158657986,294.713135064236,629.7103329895
"65","Kummeli  15",10045,7662,2019,3,6,65,"WED",2130.11,6086,37.8,1136,74.6333333333333,44.7475,59.7491666666667,50.84125,40.4175,-6.13927351373611,2.84927726294444,265.989394582184,3119.76440386342
"28","Kummeli  15",10045,6774,2019,1,28,28,"MON",1169.45,5198,41.1,838,81.7929166666667,45.23125,60.3075,54.7433333333333,41.9341666666667,-10.2280321271111,5.31282040600347,121.662086797118,513.362080882667
