"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"71","Kummeli  15",10045,7806,2019,3,12,71,"TUE",2280.46,6230,43.1,1289,72.4425,45.01125,59.7279166666667,51.1595833333333,40.7391666666667,-4.08607371394444,3.61611715760417,292.486060159375,2293.05409460592,31.2084928400101,31.3044046203881
"77","Kummeli  15",10045,7950,2019,3,18,77,"MON",2426.34,6374,28.2,982,69.9154166666667,43.3283333333333,59.1854166666667,43.3829166666667,35.8308333333333,3.44463892426042,3.15806537946875,207.273629108333,1182.14945092575,23.13673731346,22.8292132592806
"86","Kummeli  15",10045,8166,2019,3,27,86,"WED",2639.49,6590,31.8,1078,71.1125,45.185,60.44625,45.2054166666667,37.3779166666667,0.185376305326389,2.54986598082639,281.850559927778,3727.97813886108,26.6301611527117,26.7591201012344
"89","Kummeli  15",10045,8238,2019,3,30,89,"SAT",2707.01,6662,25,868,69.11,44.7133333333333,59.72875,38.8683333333333,33.1479166666667,6.66751911178472,5.48300915562847,273.178180554167,4401.26447576192,19.6823097957929,20.1097815548919
"90","Kummeli  15",10045,8262,2019,3,31,90,"SUN",2727.11,6686,28.8,918,69.0491304347826,44.6247826086957,59.8969565217391,38.7386956521739,33.0926086956522,4.09338063906522,6.18937072840217,272.335274793841,2554.75156727333,22.4413868501833,22.6273542062035
"100","Kummeli  15",10045,8501,2019,4,10,100,"WED",2925.98,6925,24.1,808,70.10625,43.5008333333333,59.9791666666667,41.3066666666667,34.4158333333333,0.722673107996528,2.80051343727431,293.242092137253,1548.32495112492,26.0542623440985,25.5516998126345
"101","Kummeli  15",10045,8525,2019,4,11,101,"THU",2947.1,6949,27.3,901,70.75875,43.515,60.4225,43.3470833333333,35.5495833333333,-0.897730692645833,2.65764398458681,214.000358397403,1548.43835243908,27.791083805951,27.7207609506473
"105","Kummeli  15",10045,8621,2019,4,15,105,"MON",3040.08,7045,26.5,934,68.9158333333333,45.5508333333333,59.6795833333333,41.4354166666667,35.1104166666667,4.74575093569792,3.84819935591319,42.0590377394792,5911.35438090175,21.7421471101768,23.4946712971952
"108","Kummeli  15",10045,8693,2019,4,18,108,"THU",3099.69,7117,20,699,67.7841666666667,47.25375,59.6366666666667,36.57875,32.325,10.2450340046215,2.42117229550347,136.622007350556,6012.1438271155,15.8477688970906,16.669185657315
"112","Kummeli  15",10045,30,2019,4,22,112,"MON",3171.67,7213,17.2,736,66.965,49.3908333333333,60.0354166666667,33.4541666666667,30.2979166666667,13.712772369309,2.07564708593403,230.661332375694,5817.50211459492,12.1308914042763,12.2220210217641
"115","Kummeli  15",10045,102,2019,4,25,115,"THU",3219.83,7285,13.9,693,66.005,51.25,59.4125,30.7829166666667,28.8920833333333,16.9710395022222,2.75601040247222,134.230590764132,3855.36900833575,8.63853457158508,8.56127555828975
"118","Kummeli  15",10045,174,2019,4,28,118,"SUN",3266.93,7357,10.4,643,66.1120833333333,49.7133333333333,59.5675,34.2708333333333,31.45625,8.81873031504861,4.69618274568403,63.2241595979514,6650.97760153992,17.3765451553218,19.1298418641432
"121","Kummeli  15",10045,246,2019,5,1,121,"WED",3316.56,7429,15.7,665,67.4208333333333,50.025,59.5775,34.1533333333333,31.5375,11.483997995875,2.49504394269097,211.85137392751,6331.66631624367,14.5197917289191,15.0244878834027
